_id,operator_registration_number,postal_code,ward_number,ward_name
108901,STR-2104-HRHKVK,M5J,10.0,Spadina-Fort York
108902,STR-2104-HYPKVL,M5V,10.0,Spadina-Fort York
108903,STR-2104-JGVKVM,M9C,2.0,Etobicoke Centre
108904,STR-2104-FDZDVB,M4G,15.0,Don Valley West
108905,STR-2104-FVMDVD,M5J,10.0,Spadina-Fort York
108906,STR-2104-GCTDVF,M6K,10.0,Spadina-Fort York
108907,STR-2104-GKZDVG,M5V,10.0,Spadina-Fort York
108908,STR-2104-GTGDVH,M5B,13.0,Toronto Centre
108909,STR-2104-HJTDVK,M6C,9.0,Davenport
108910,STR-2104-HZGDVM,M6H,9.0,Davenport
108911,STR-2104-FFQRVB,M6J,10.0,Spadina-Fort York
108912,STR-2104-FMWRVC,M6K,4.0,Parkdale-High Park
108913,STR-2104-FWCRVD,M6J,10.0,Spadina-Fort York
108914,STR-2104-GDJRVF,M5V,10.0,Spadina-Fort York
108915,STR-2104-GLQRVG,M4P,12.0,Toronto-St. Paul's
108916,STR-2104-HCCRVJ,M5J,10.0,Spadina-Fort York
108917,STR-2104-FGGDVB,M5V,10.0,Spadina-Fort York
